"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"35","1",17,"0",2,600,"0",0,"1",0,"0",22,"0",0,"2","0","1","0",10,6,"1",40,8000,8000,0,"0","0",1,1,7675.75,NA
"36","1",17,"0",1,0,"0",2,"3",1,"0",37,"0",1,"1","0","1","0",11,7,"1",40,93150,113550,0,"1","0",1,1,3488.25,NA
"37","1",17,"0",1,0,"0",2,"4",2,"0",38,"0",1,"3","0","1","0",10,6,"1",30,30000,30000,0,"1","0",1,1,1015,NA
"38","1",17,"0",1,0,"0",1,"2",0,"0",82,"0",1,"1","0","1","0",10,7,"0",0,39000,82700,0,"1","0",1,1,2884.25,NA
"39","1",17,"0",1,0,"0",2,"1",0,"0",54,"0",1,"1","0","1","0",11,7,"1",40,46000,46000,0,"1","0",1,1,3283.25,NA
"40","1",17,"0",0,0,"0",0,"1",0,"0",22,"0",0,"7","2","1","0",4,5,"0",0,0,0,0,"0","0",1,1,0,NA
"41","1",17,"0",1,0,"0",3,"3",0,"0",22,"0",0,"2","0","1","0",8,7,"1",16,6000,30100,0,"1","0",1,1,2958.25,NA
"42","1",17,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",7,6,"0",25,1500,0,0,"0","0",1,1,0,NA
"43","1",17,"0",0,0,"0",0,"1",0,"0",21,"0",0,"2","0","1","0",7,6,"0",11,2000,0,0,"0","0",1,1,0,NA
"44","1",17,"0",1,0,"0",3,"7",0,"0",21,"0",0,"1","0","1","0",6,6,"1",30,12000,126200,0,"1","0",1,1,3670.75,NA
"45","1",17,"0",1,0,"0",3,"7",0,"0",20,"0",0,"1","0","1","0",6,6,"1",20,5200,126200,0,"1","0",1,1,3670.75,NA
"46","1",17,"0",1,0,"0",2,"5",0,"0",22,"0",0,"2","0","1","0",7,6,"1",8,4000,52000,0,"1","0",1,1,3083.25,NA
"47","1",17,"0",1,0,"0",4,"4",0,"0",23,"0",0,"1","0","1","0",7,6,"1",40,23000,108400,0,"1","0",1,1,3108.25,NA
"48","1",17,"0",1,0,"0",3,"4",0,"0",18,"0",0,"1","0","1","0",6,5,"1",8,1200,196200,0,"1","0",1,1,5128.25,NA
"49","1",17,"0",0,0,"0",0,"1",0,"0",22,"0",0,"1","0","1","0",7,6,"1",15,6000,0,0,"0","0",1,1,0,NA
"50","1",17,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",6,6,"1",30,2820,0,0,"0","0",1,1,0,NA
"51","1",17,"0",1,0,"0",2,"4",2,"0",41,"0",1,"1","0","1","0",8,6,"1",50,56000,56000,0,"1","0",1,1,3608.25,NA
"52","1",17,"0",1,0,"0",4,"4",0,"0",26,"0",0,"1","0","1","0",7,6,"0",0,0,77000,0,"1","0",1,1,3193.25,NA
"53","1",17,"0",1,0,"0",4,"4",0,"0",21,"0",0,"1","0","1","0",7,6,"1",30,20000,77000,0,"1","0",1,1,3193.25,NA
"54","1",17,"0",0,0,"0",0,"1",0,"0",24,"0",0,"1","0","1","0",10,7,"1",40,8000,0,0,"0","0",1,1,0,NA
"55","1",17,"0",2,730,"0",2,"1",0,"0",22,"0",0,"1","0","1","0",7,6,"1",38,18000,18000,0,"1","0",1,1,5541.5,NA
"56","1",17,"0",1,0,"0",3,"4",0,"0",18,"0",0,"1","0","1","0",6,6,"1",20,3800,58800,0,"1","0",1,1,5476.5,NA
"57","1",17,"0",1,0,"0",3,"5",0,"0",23,"0",1,"6","0","1","0",7,6,"0",0,0,124600,0,"1","0",1,1,3508.25,NA
"58","1",17,"0",1,0,"0",3,"5",0,"0",23,"0",0,"6","1","1","0",7,6,"1",25,19000,124600,0,"1","0",1,1,3508.25,NA
"59","1",17,"0",1,0,"0",2,"3",0,"0",18,"0",0,"7","0","1","0",6,6,"0",0,0,81000,0,"1","0",1,1,3250.75,NA
"60","1",17,"0",1,0,"0",1,"1",0,"0",65,"0",0,"1","0","1","0",10,7,"0",40,29550,29550,0,"1","0",1,1,3198.25,NA
