REGION,STATEFIP,METRO,OWNERSHP,RENT,FOODSTMP,VEHICLES,FAMSIZE,NCHILD,SEX,MARST,MARRNO,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,EDUC,GRADEATT,EMPSTAT,UHRSWORK,POVERTY,DIFFREM,DIFFMOB,VETSTAT,UTILITIES,GENERATION
0,9,0,0,0,0,0,1,0,1,2,0,8,1,0,1,1,5,5,3,0,0,0,0,1,0,1
0,9,1,2,1300,0,2,4,2,2,0,1,1,1,0,1,1,10,7,1,38,1,0,0,1,7944.75,1
0,9,1,1,0,0,4,4,0,2,2,0,1,0,0,1,1,7,6,1,8,1,0,0,1,4013.25,1
0,9,1,1,0,0,4,4,0,1,2,0,1,0,0,1,1,6,6,2,40,1,0,0,1,4013.25,1
0,9,1,1,0,0,2,3,2,2,1,1,1,0,0,1,1,10,7,1,55,1,0,0,1,3073.25,3
0,9,1,1,0,0,2,3,0,1,2,0,1,0,0,1,1,6,6,3,10,1,0,0,1,3073.25,1
0,9,1,2,1000,0,1,2,0,1,2,0,2,0,0,1,0,7,6,3,0,1,0,0,1,6647.5,1
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,20,0,0,0,1,0,1
0,9,1,0,0,0,0,1,0,1,2,0,2,0,0,1,1,5,5,1,5,0,1,1,1,0,1
0,9,0,1,0,0,4,4,0,2,2,0,1,0,0,1,1,10,7,1,25,1,0,0,1,3530.75,1
0,9,1,2,850,0,0,2,0,1,0,1,1,0,0,1,1,10,7,1,50,1,0,0,1,5296.5,1
0,9,1,1,0,0,2,4,2,2,0,2,1,0,0,1,1,8,6,1,36,1,0,0,1,3148.25,2
0,9,1,1,0,0,2,2,0,2,0,2,2,0,2,1,1,7,6,1,40,1,0,0,1,3533.25,2
0,9,1,2,700,0,0,3,0,1,2,0,2,0,0,1,0,7,6,3,0,0,0,0,1,5417.5,1
0,9,1,2,700,0,0,3,0,2,2,0,2,0,0,1,0,5,5,3,0,0,0,0,1,5417.5,1
0,9,0,1,0,0,2,4,0,1,0,1,1,0,0,1,1,6,5,2,40,1,0,1,1,4345.75,1
0,9,0,1,0,0,2,4,0,1,0,1,1,0,0,1,1,6,6,1,22,1,0,1,1,4345.75,1
0,9,1,1,0,0,2,7,0,2,2,0,6,0,2,1,1,6,6,3,30,1,0,0,1,4313.25,1
0,9,1,1,0,0,3,3,0,1,2,0,1,0,0,1,1,6,6,2,0,1,0,0,1,6736.5,1
0,9,0,1,0,0,3,4,0,2,2,0,1,0,0,1,0,6,6,1,15,1,0,0,1,5959,1
0,9,1,1,0,0,2,4,2,1,0,1,1,0,0,1,1,7,6,2,40,1,0,0,1,1537.5,2
0,9,0,1,0,0,4,4,0,1,2,0,1,0,0,1,1,8,6,1,25,1,0,0,1,3708.25,1
0,9,1,2,650,1,1,5,3,2,2,0,3,1,0,1,1,4,5,3,0,0,1,1,1,7644.75,1
0,9,1,0,0,0,0,1,0,1,2,0,7,4,0,1,1,7,6,3,0,0,0,0,1,0,1
0,9,1,1,0,0,3,3,0,2,2,0,1,0,0,1,1,8,6,1,23,1,0,0,1,4360.75,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,2,30,0,0,0,1,0,1
0,9,0,0,0,0,0,1,0,2,2,0,2,1,0,1,1,6,6,1,15,0,0,0,1,0,1
0,9,1,2,850,0,2,2,0,1,2,0,1,1,0,1,1,6,5,1,30,1,0,0,1,5866.5,1
0,9,0,2,370,0,2,2,0,1,2,0,1,0,0,1,1,6,5,3,0,1,0,0,1,3488.25,1
0,9,0,1,0,0,1,2,0,2,2,0,1,0,0,1,1,6,6,1,40,1,0,0,1,5736.5,1
0,9,1,2,1500,0,2,2,0,2,2,0,1,0,0,1,1,11,7,1,48,1,0,0,1,9997,1
0,9,1,2,1500,0,2,2,0,2,2,0,1,0,0,1,1,11,7,1,8,1,0,0,1,9997,1
0,9,1,1,0,0,2,3,0,2,2,0,1,0,2,1,1,6,5,3,0,1,0,0,1,3430.75,1
0,9,1,1,0,0,2,5,0,1,2,0,4,0,2,1,1,6,6,1,10,1,0,0,1,2675,1
0,9,1,2,120,0,0,1,0,2,2,0,7,1,0,1,1,5,5,2,0,1,0,0,1,5567.5,1
0,9,1,1,0,0,2,4,2,1,0,1,1,0,0,1,1,11,7,1,40,1,0,0,1,3668.25,2
0,9,0,0,0,0,0,1,0,1,2,0,1,0,0,1,1,6,6,3,10,0,0,0,1,0,1
0,9,1,1,0,0,3,5,0,2,2,0,1,1,0,1,1,7,6,3,0,1,0,0,1,3753.25,1
0,9,1,1,0,0,6,1,0,2,2,0,1,0,0,1,1,6,6,1,32,1,0,0,1,3498.25,1
0,9,1,1,0,0,3,3,0,1,2,0,1,0,0,1,1,11,7,2,0,1,0,0,1,6271.5,1
0,9,1,1,0,0,3,6,0,1,2,0,1,0,0,1,1,7,6,1,20,1,0,0,1,3508.25,1
0,9,0,2,680,1,0,1,0,1,1,1,1,0,0,1,1,7,6,3,0,0,1,0,1,9996,2
0,9,1,1,0,0,5,5,0,2,2,0,1,0,0,1,1,6,6,3,25,1,0,0,1,6246.5,1
0,9,0,1,0,0,3,3,1,2,0,1,1,0,0,1,1,10,7,1,80,1,0,0,1,1065,2
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,3,0,0,0,0,1,0,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,6,6,1,15,0,0,0,1,0,1
0,9,1,0,0,0,0,1,0,1,2,0,4,0,0,1,0,6,6,3,0,0,0,0,1,0,1
0,9,1,2,650,1,1,1,0,1,2,0,2,0,0,1,1,5,5,2,28,1,0,0,1,5627.5,1
0,9,0,2,600,0,1,1,0,1,1,1,7,4,2,1,1,7,6,3,0,0,0,0,1,2988.25,1
0,9,0,1,0,0,2,2,0,2,0,1,1,0,2,0,1,7,6,1,35,1,0,0,1,3323.25,2
0,9,1,1,0,0,3,3,0,2,2,0,1,0,0,1,1,7,6,1,30,1,0,0,1,6156.5,1
0,9,0,0,0,0,0,1,0,1,0,1,7,1,0,1,1,4,5,3,5,0,0,0,1,0,1
0,9,0,0,0,0,0,1,0,1,0,1,7,1,0,1,1,4,5,3,5,0,0,0,1,0,1
0,9,1,1,0,0,4,5,0,2,2,0,1,0,0,1,1,5,5,3,30,1,0,0,1,2870,1
0,9,1,1,0,0,3,1,0,1,2,0,2,0,0,1,1,6,6,3,0,0,0,0,1,4003.25,1
0,9,1,2,1000,0,2,1,0,2,2,0,1,0,0,1,1,10,7,1,30,1,0,0,1,7766.75,1
0,9,1,0,0,0,0,1,0,1,2,0,1,0,0,1,1,10,7,1,40,0,0,0,1,0,1
0,9,0,1,0,0,2,2,0,2,2,0,1,0,0,1,1,8,6,1,25,1,0,0,1,4048.25,1
0,9,0,1,0,0,2,1,0,2,0,1,1,0,0,1,1,8,6,2,0,1,0,0,1,5536.5,4
0,9,1,0,0,0,0,1,0,1,2,0,8,1,0,1,1,6,6,1,6,0,0,0,1,0,1
0,9,1,1,0,0,2,4,2,2,0,2,1,0,0,1,1,7,6,3,0,1,0,0,1,4155.75,2
0,9,0,1,0,0,4,3,0,1,2,0,1,0,0,1,1,5,5,1,8,1,0,0,1,3528.25,1
0,9,1,1,0,0,3,2,0,2,0,1,1,0,0,1,1,11,7,1,40,1,0,0,1,3500.75,1
0,9,0,0,0,0,0,1,0,1,2,0,1,0,0,1,1,7,6,1,20,0,0,0,1,0,1
0,9,1,2,660,0,1,1,0,2,2,0,8,1,0,1,1,7,6,1,32,1,0,0,1,5686.5,1
