"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"1","2",1,"0",1,0,"0",3,"3",0,"0",21,"0",0,"1","0","1","0",7,6,"0",0,0,94000,0,"1","0",1,1,5726.5,NA
"2","2",1,"0",0,0,"0",0,"1",0,"0",31,"0",1,"1","0","1","0",4,5,"1",40,1300,0,0,"0","0",1,1,0,NA
"3","2",1,"0",2,600,"0",1,"1",0,"0",19,"0",0,"1","0","1","0",7,6,"1",24,2600,2600,0,"0","0",1,1,5507.5,NA
"4","2",1,"0",1,0,"0",2,"2",0,"0",18,"0",0,"1","0","1","0",6,6,"1",25,11800,85200,0,"1","0",1,1,3610.75,NA
"5","2",1,"0",0,0,"0",0,"1",0,"0",19,"0",0,"2","0","1","0",6,6,"0",0,0,0,0,"0","0",1,1,0,NA
"6","2",1,"0",2,650,"0",1,"1",0,"0",21,"0",0,"2","0","1","0",7,6,"2",10,300,300,0,"0","0",1,1,9995,NA
"7","2",1,"0",2,650,"0",1,"1",0,"0",20,"0",0,"2","0","1","0",7,6,"1",40,3400,3400,0,"0","0",1,1,9995,NA
"8","2",1,"0",1,0,"0",2,"2",0,"0",56,"0",1,"2","0","1","0",6,6,"0",0,3000,21700,0,"1","0",1,1,5734,NA
"9","2",1,"0",0,0,"0",0,"1",0,"0",24,"0",0,"2","0","1","0",3,5,"0",0,0,0,0,"0","0",1,1,0,NA
"10","2",1,"0",1,0,"0",2,"3",1,"0",36,"0",1,"1","0","1","0",10,7,"1",40,49000,67000,0,"1","0",1,1,5686.5,NA
"11","2",1,"0",0,0,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",12,5000,0,0,"0","0",1,1,0,NA
"12","2",1,"0",2,750,"0",2,"2",0,"0",57,"0",3,"2","0","1","0",6,6,"0",40,12740,12740,0,"0","1",1,2,3228.25,NA
"13","2",1,"0",1,0,"0",4,"3",0,"0",19,"0",0,"1","0","1","0",7,6,"1",10,2000,142040,0,"1","0",1,1,3548.25,NA
"14","2",1,"0",1,0,"0",3,"4",0,"0",20,"0",0,"1","0","1","0",6,6,"1",40,8000,70000,0,"1","0",1,1,3718.25,NA
"15","2",1,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",7,6,"0",0,1500,0,0,"0","0",1,1,0,NA
"16","2",1,"0",1,0,"0",3,"3",0,"0",21,"0",0,"3","0","1","0",7,6,"2",0,0,71200,0,"1","0",1,1,5926.5,NA
"17","2",1,"0",1,0,"0",3,"3",0,"0",18,"0",0,"3","0","1","0",5,5,"2",20,1200,71200,0,"1","0",1,1,5926.5,NA
"18","2",1,"0",1,0,"0",5,"6",4,"0",40,"0",1,"2","0","1","0",7,6,"1",40,10000,80000,0,"1","0",1,2,3668.25,NA
"19","2",1,"0",1,0,"0",5,"6",4,"0",38,"0",1,"2","0","1","0",7,6,"1",36,70000,80000,0,"1","0",1,1,3668.25,NA
"20","2",1,"0",1,0,"0",5,"6",0,"0",18,"0",0,"2","0","1","0",6,6,"0",0,0,80000,0,"1","0",1,1,3668.25,NA
"21","2",1,"0",1,0,"0",1,"1",0,"0",84,"0",2,"2","0","1","0",11,7,"0",0,33100,33100,0,"1","0",1,1,3278.25,NA
"22","2",1,"0",2,680,"0",2,"2",0,"0",26,"0",0,"1","0","1","0",10,7,"1",36,40000,70000,0,"1","0",1,1,2903.25,NA
"23","2",1,"0",2,680,"0",2,"2",0,"0",28,"0",0,"1","0","1","0",10,7,"1",40,30000,70000,0,"1","0",1,1,2903.25,NA
"24","2",1,"0",0,0,"0",0,"1",0,"0",22,"0",0,"1","0","1","0",7,6,"1",5,5000,0,0,"0","0",1,1,0,NA
"25","2",1,"0",1,0,"0",2,"4",0,"0",31,"0",0,"1","0","1","0",10,6,"1",40,25370,117410,0,"1","0",1,1,8064.75,NA
"26","2",1,"0",1,0,"0",2,"1",0,"0",42,"0",3,"1","0","1","0",8,6,"0",20,600,600,0,"0","0",1,2,5454,NA
"27","2",1,"0",1,0,"0",2,"4",2,"0",27,"0",1,"2","0","1","0",6,6,"1",40,31000,116000,0,"1","0",1,1,6016.5,NA
