"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"1","3",2,"0",2,1700,"0",2,"2",0,"0",37,"0",2,"1","0","1","0",8,6,"1",50,80000,110000,0,"1","0",1,1,3238.25,NA
"2","3",2,"0",2,750,"0",2,"4",2,"0",36,"0",1,"1","0","1","0",10,7,"1",60,52200,101400,0,"1","0",1,1,3428.25,NA
"3","3",2,"0",1,0,"0",3,"4",0,"0",18,"0",0,"3","0","1","0",5,5,"1",10,4900,23300,0,"1","0",1,1,4048.25,NA
"4","3",2,"0",0,0,"0",0,"1",0,"0",21,"0",0,"3","0","1","0",6,6,"0",40,3300,0,0,"0","0",1,1,0,NA
"5","3",2,"0",2,850,"0",2,"2",0,"0",29,"0",1,"1","0","1","0",10,7,"1",36,33000,84300,0,"1","0",1,1,7557.75,NA
"6","3",2,"0",1,0,"0",1,"1",0,"0",66,"0",2,"1","0","1","0",10,7,"1",40,82900,82900,0,"1","0",1,2,3103.25,NA
"7","3",2,"0",2,310,"0",0,"3",2,"0",22,"0",0,"1","0","1","0",7,6,"1",35,26800,26800,0,"1","0",1,1,5846.5,NA
"8","3",2,"0",1,0,"0",0,"8",0,"0",20,"0",0,"3","0","1","0",5,5,"0",0,1300,42500,0,"1","0",1,1,5208.25,NA
"9","3",2,"0",1,0,"0",0,"8",0,"0",18,"0",0,"3","0","1","0",5,5,"0",0,1300,42500,0,"1","0",1,1,5208.25,NA
"10","3",2,"0",1,0,"0",0,"1",0,"0",18,"0",0,"3","0","1","0",5,5,"0",0,1300,1300,0,"0","0",1,1,5208.25,NA
"11","3",4,"0",2,0,"0",2,"2",0,"0",22,"0",0,"1","0","1","0",10,6,"0",12,3000,3000,0,"0","0",1,1,3218.25,NA
"12","3",4,"0",2,0,"0",2,"2",0,"0",19,"0",0,"1","0","1","0",7,6,"0",0,0,3000,0,"0","0",1,1,3218.25,NA
"13","3",4,"0",1,0,"0",3,"2",0,"0",55,"0",1,"1","0","1","0",8,6,"1",55,102000,102000,0,"1","0",1,1,3243.25,NA
"14","3",4,"0",0,0,"0",0,"1",0,"0",20,"0",0,"5","0","1","0",7,6,"0",0,0,0,0,"0","0",1,1,0,NA
"15","3",4,"0",1,0,"0",3,"4",0,"0",18,"0",0,"1","0","1","0",6,5,"0",40,1500,121500,0,"1","0",1,1,3393.25,NA
"16","3",4,"0",2,2500,"0",4,"5",0,"0",21,"0",0,"1","0","1","0",7,6,"1",20,8000,210000,0,"1","0",1,1,6866.5,NA
"17","3",4,"0",2,2500,"0",4,"5",0,"0",19,"0",0,"1","0","1","0",6,5,"0",40,3000,210000,0,"1","0",1,1,6866.5,NA
"18","3",4,"0",2,2500,"0",4,"5",0,"0",18,"0",0,"1","0","1","0",5,5,"0",0,0,210000,0,"1","0",1,1,6866.5,NA
"19","3",4,"0",0,0,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",8,2400,0,0,"0","0",1,1,0,NA
"20","3",4,"0",0,0,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",10,5000,0,0,"0","0",1,1,0,NA
"21","3",4,"0",2,710,"0",0,"1",0,"0",23,"0",0,"2","0","1","0",7,6,"1",20,2200,2200,0,"0","0",1,1,5309,NA
"22","3",4,"0",1,0,"0",3,"7",3,"0",33,"0",1,"1","0","1","0",7,6,"2",0,17200,207100,17200,"1","0",1,1,6011.5,NA
"23","3",4,"0",1,0,"0",3,"7",3,"0",29,"0",1,"1","0","1","0",8,6,"1",40,3900,207100,0,"1","0",1,1,6011.5,NA
"24","3",4,"0",1,0,"0",3,"3",0,"0",21,"0",0,"1","0","1","0",7,6,"1",10,3000,42300,0,"1","0",1,1,6274,NA
"25","3",4,"0",2,500,"0",4,"4",0,"0",23,"0",0,"1","0","1","0",10,6,"0",30,3000,75000,0,"1","0",1,1,5961.5,NA
"26","3",4,"0",2,500,"0",4,"4",0,"0",22,"0",0,"1","0","1","0",7,6,"1",18,2000,75000,0,"1","0",1,1,5961.5,NA
"27","3",4,"0",2,700,"0",2,"1",0,"0",25,"0",0,"3","0","1","0",7,6,"1",30,8500,8500,0,"0","0",1,1,5404,NA
"28","3",4,"0",0,0,"0",0,"1",0,"0",47,"0",0,"2","0","1","0",7,6,"0",0,0,0,0,"0","0",1,1,0,NA
"29","3",4,"0",2,800,"0",2,"2",0,"0",28,"0",0,"1","0","1","0",7,6,"1",96,40000,73000,0,"1","0",1,1,870,NA
"30","3",4,"0",1,0,"0",1,"2",1,"0",29,"0",1,"1","0","1","0",7,6,"1",40,38600,38600,0,"1","0",1,1,5526.5,NA
"31","3",4,"0",1,0,"0",5,"6",0,"0",21,"0",0,"1","0","1","0",6,6,"0",40,16000,58400,0,"1","0",1,1,4643.25,NA
"32","3",4,"0",1,0,"0",5,"6",0,"0",19,"0",0,"1","0","1","0",7,6,"0",0,0,58400,0,"1","0",1,1,4643.25,NA
"33","3",4,"0",1,0,"0",2,"4",0,"0",19,"0",0,"1","0","1","0",6,6,"0",0,0,58000,0,"1","0",1,1,5746.5,NA
"34","3",4,"0",0,0,"0",0,"1",0,"0",22,"0",0,"3","0","1","0",7,6,"0",40,45000,0,0,"0","0",1,1,0,NA
"35","3",4,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",6,6,"0",25,1000,0,0,"0","0",1,1,0,NA
"36","3",4,"0",0,0,"0",0,"1",0,"0",47,"0",1,"1","0","1","0",6,6,"0",0,0,0,0,"0","0",1,1,0,NA
"37","3",4,"0",2,670,"0",1,"1",0,"0",33,"0",0,"1","0","1","0",11,6,"1",20,60000,60000,0,"1","0",1,1,7645.75,NA
